HAM.CU.13900218.093, TASK90,5825,24
JAM.SC.13900924.065, TASK30,7700,25
PTV.PO.13910205.041, TASK21,2620,12
PTV.PO.13900120.099, TASK23,8049,28
PTV.SO.13900809.096, TASK73,2497,13
PTV.PO.13910203.015, TASK51,2131,9
PTV.PO.13910127.042, TASK46,2355,10
HAM.SO.13900419.072, TASK39,4472,16
FAR.EC.13910203.008, TASK38,28620,121
TAB.CU.13900311.069, TASK62,6801,19
JAM.SO.13910204.062, TASK31,25393,127
ALF.EC.13910204.024, TASK86,6305,17
FAR.EC.13910131.011, TASK93,6000,10
PTV.PO.13910204.044, TASK44,2559,12
TAB.CU.13900428.077, TASK49,4335,11
PTV.PO.13900501.095, TASK56,3846,16
IRN.PO.13910203.028, TASK13,4420,13
IRN.PO.13910204.031, TASK37,1980,6
IRN.SP.13910201.048, TASK100,1443,6
PTV.PO.13910203.043, TASK70,1475,7
IRN.CU.13910203.045, TASK75,2767,9
ALF.EC.13910204.025, TASK76,2281,6
HAM.SO.13900524.087, TASK68,4737,19
HAM.SP.13910203.046, TASK54,7166,14
JAM.CU.13900622.092, TASK79,4635,16
TAB.PO.13910202.032, TASK8,6627,23
IRN.CU.13910204.055, TASK47,2889,10
HAM.SC.13900713.047, TASK53,4701,17
TAB.SO.13910202.058, TASK22,5808,10
HAM.SP.13901125.070, TASK4,9360,20
PTV.PO.13910921.060, TASK95,7985,32
IRN.SO.13910204.029, TASK77,4691,14
TAB.EC.13910203.035, TASK25,2185,8
FAR.EC.13910129.014, TASK81,7822,35
ALF.CU.13910117.019, TASK74,4889,11
JAM.SO.13901020.071, TASK85,10756,30
JAM.SO.13900307.066, TASK9,17388,76
PTV.PO.13901228.068, TASK64,2109,8
ALF.SC.13910131.018, TASK59,3517,15
FAR.SO.13910202.009, TASK97,2432,7
FAR.CU.13910203.005, TASK92,3010,18
TAB.CU.13900209.074, TASK5,17913,47
PTV.PO.13900507.097, TASK20,2921,12
HAM.CU.13900115.094, TASK3,6638,17
IRN.SC.13910204.053, TASK61,889,4
ALF.SO.13910126.023, TASK83,14113,96
IRN.SP.13910204.057, TASK2,3465,10
JAM.EC.13910203.056, TASK34,4328,12
HAM.SO.13900802.050, TASK7,8180,42
FAR.SP.13910202.013, TASK11,2298,13
HAM.CU.13910116.061, TASK99,3844,12
ALF.PO.13910204.020, TASK10,4815,23
JAM.CU.13901214.063, TASK24,6262,17
FAR.SP.13910202.010, TASK29,1102,6
JAM.SC.13910204.002, TASK84,18190,96
HAM.CU.13901206.082, TASK58,8802,16
JAM.SP.13910203.001, TASK91,1025,4
JAM.SC.13901218.064, TASK18,14858,78
IRN.SC.13910131.052, TASK82,4116,15
FAR.SC.13901223.007, TASK60,2761,10
FAR.SC.13910122.006, TASK71,6321,43
JAM.CU.13901101.003, TASK94,4571,15
ALF.SO.13910130.017, TASK69,4199,12
TAB.EC.13900331.079, TASK36,9286,34
TAB.PO.13910202.039, TASK65,4524,9
JAM.SP.13900813.078, TASK42,6778,23
JAM.CU.13900819.067, TASK88,6074,14
JAM.SC.13910204.084, TASK16,4021,15
FAR.CU.13910203.004, TASK33,2572,12
TAB.EC.13910125.030, TASK63,8473,29
ALF.SO.13910203.075, TASK26,3008,10
PTV.PO.13910204.040, TASK52,3292,15
HAM.SC.13901118.085, TASK41,4713,17
IRN.PO.13910202.036, TASK48,5238,20
FAR.EC.13910127.012, TASK72,47444,152
ALF.EC.13901207.026, TASK32,3781,13
ALF.PO.13910204.027, TASK55,1903,7
JAM.SO.13901203.081, TASK78,2986,11
TAB.CU.13900424.073, TASK57,14049,88
IRN.PO.13910203.037, TASK27,2632,7
JAM.CU.13901114.086, TASK66,5554,18
PTV.PO.13900202.098, TASK6,7234,26
TAB.SO.13910120.059, TASK15,5918,26
TAB.SP.13910203.033, TASK35,5448,57
IRN.SP.13910204.049, TASK1,1627,5
HAM.SP.13900416.076, TASK98,6937,31
TAB.EC.13900401.080, TASK67,3764,11
ALF.EC.13910204.022, TASK89,3115,8
HAM.EC.13900619.089, TASK14,5037,14
IRN.SC.13910204.054, TASK87,2939,11
TAB.SO.13900412.088, TASK96,4489,17
IRN.SP.13910202.016, TASK45,2185,7
HAM.SC.13910204.038, TASK17,15522,58
PTV.EC.13900917.100, TASK80,8681,34
HAM.EC.13900802.083, TASK28,5012,20
HAM.CU.13910107.090, TASK40,49144,156
IRN.PO.13900801.051, TASK43,2170,7
JAM.PO.13910203.034, TASK19,2853,12
ALF.PO.13910203.021, TASK12,5240,11
TAB.CU.13900522.091, TASK50,3408,7
